frame,F1,F2,F3,F4,F5,F6,F7,blink
5234,0.5849607800008798,0.6042256592967482,0.5705199238907906,0.5099533841048255,0.5874818870023135,0.5596868390977405,0.5217756031313445,0.0
2989,0.36075301912608093,0.4221187234352076,0.3390135260457981,0.3993856749051396,0.3746970439973302,0.3485366169256208,0.3642762335484023,0.0
3302,0.7222640092808543,0.7225347013161081,0.7233735177198728,0.7254096774912575,0.7214269188440755,0.6819496884302262,0.7289934501928463,0.0
5276,0.548317090245329,0.5336574076047766,0.5490725808351532,0.5371222853278734,0.5590019469221943,0.5461024644924575,0.548317090245329,0.0
456,0.6912497150128352,0.6912369922478186,0.7176483451502893,0.7118308565268415,0.6851279774139404,0.685169297570193,0.7022715605377585,0.0
4225,0.3992250990935201,0.3504733809644445,0.37299613101539614,0.45963009718087205,0.3103876206616912,0.3861942700796959,0.3602203252117672,0.0
138,0.5790441752726966,0.5219804620633458,0.5212249714735216,0.5610415326643767,0.5199125701137252,0.5450059582204906,0.5213100462135515,0.0
6183,0.7169197819863317,0.7047309254167461,0.715701746274492,0.6920793226214952,0.7179173112185571,0.6998119307792278,0.7401595343972817,0.0
5416,0.8001822730434527,0.7764747935903732,0.7539320022810914,0.7764747935903732,0.7067993375896198,0.7765640863512332,0.7823882644005302,0.0
3229,0.7549790647991196,0.7305635825743781,0.7726252396685512,0.7502225662518301,0.7478028917325988,0.7411861263784144,0.706060804614769,0.0
166,0.372316397121315,0.3984608354054083,0.3619064529402012,0.4109019104765653,0.3978500508206764,0.38561393239328057,0.3978500508206764,0.0
5430,0.8011640705644002,0.7762044372280171,0.7989976668947844,0.8002618693672781,0.7753898649796205,0.798918551714009,0.7520536020958972,0.0
4041,0.4228291604217233,0.3989784393768776,0.4228267915414636,0.4596111360669808,0.4616197298201079,0.4222179984965337,0.43332882333469147,0.0
3919,0.2842373360742273,0.38713821768515977,0.2846781399019151,0.29870524219226524,0.22192174540217185,0.2449611166526181,0.2376623119816309,0.0
4518,0.7212822117599068,0.7058880082546385,0.7070428926312744,0.7294267267266227,0.7222640092808543,0.7222640092808543,0.7054647634584575,0.0
8444,0.30084665061944216,0.2971491563622382,0.3197184789470623,0.3001511817210011,0.3715254190216569,0.39679935992479626,0.2971491563622382,0.0
190,0.3502245342123376,0.4007794532198168,0.3741425713675969,0.3737585019733132,0.4006889660583395,0.3266354319987741,0.4595255728392494,0.0
7667,0.6561668573572186,0.7725234080667843,0.7054332902964522,0.6852292626329178,0.6337614798230142,0.6610413149251937,0.65393183643001,0.0
