frame,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,blink
6,0.6490682930449543,0.7351693247602306,0.7895899374373446,0.7259284244610904,0.8225293731862395,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.0
7,0.7351693247602306,0.7895899374373446,0.7259284244610904,0.8225293731862395,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.0
8,0.7895899374373446,0.7259284244610904,0.8225293731862395,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.0
9,0.7259284244610904,0.8225293731862395,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.0
10,0.8225293731862395,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.0
11,0.7867409791757652,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.5377864326389306,0.0
12,0.85458309684928,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.5377864326389306,0.4590086054167243,0.0
13,0.6243791059577324,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.5377864326389306,0.4590086054167243,0.8330813700629753,0.0
14,0.8058158325130409,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.5377864326389306,0.4590086054167243,0.8330813700629753,0.8806374391389239,0.0
15,0.6471238286046368,0.6358126338121383,0.5238438767265977,0.0,0.4973966507940158,0.36687868672918705,0.7684427341387995,0.6101671778608752,0.5377864326389306,0.4590086054167243,0.8330813700629753,0.8806374391389239,0.8980648280828322,0.0
