frame,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,blink
6,0.5062939055438916,0.5025793568178053,0.5077612849685303,0.5054539245956742,0.5430959441255765,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.0
7,0.5025793568178053,0.5077612849685303,0.5054539245956742,0.5430959441255765,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.0
8,0.5077612849685303,0.5054539245956742,0.5430959441255765,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.0
9,0.5054539245956742,0.5430959441255765,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.0
10,0.5430959441255765,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.0
11,0.6269096327955603,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.0
12,0.643308165484694,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.0
13,0.5878308743746605,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.0
14,0.5840269194286485,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.0
15,0.6041838565814625,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.0
16,0.5870645021292583,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.0
17,0.5828630940477582,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.0
18,0.6062434719266427,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.0
19,0.5494042403428402,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.0
20,0.5451112596065841,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.0
21,0.5562447532378556,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.0
22,0.5368786638683914,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.0
23,0.5387367044837361,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.0
24,0.5766183982979746,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.0
25,0.5748345249904554,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.0
26,0.5430959441255765,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.0
27,0.5430401406143943,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.0
28,0.5571164387445636,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.0
29,0.5240460504673026,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.0
30,0.547692826530669,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.0
31,0.5542605256049937,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.0
32,0.4943157720783232,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.0
33,0.5387367044837361,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.0
34,0.5376590545736365,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.0
35,0.5597204207897384,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.0
36,0.516901856298306,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.0
37,0.5580868878654766,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.0
38,0.48755329346873477,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.0
39,0.5273712134441252,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.0
40,0.5177817493980116,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.0
41,0.5648983333808213,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.0
42,0.5762314105287162,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.0
43,0.5375680799004644,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.0
44,0.5580868878654766,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.0
45,0.5949535571763186,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.0
46,0.5858536184409482,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.0
47,0.6521742379510339,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.0
48,0.6568333395011797,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.0
49,0.6053140651098803,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.6616909626583596,0.0
50,0.6429683409979563,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.6616909626583596,0.6558837773122059,0.0
51,0.626739298170548,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.6616909626583596,0.6558837773122059,0.6055807421197231,0.0
52,0.6705947929278943,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.6616909626583596,0.6558837773122059,0.6055807421197231,0.5815869482024845,0.0
53,0.6356602023628914,0.6493480446299179,0.6633197152044199,0.684155262619312,0.6705947929278943,0.6637885931640122,0.6863746612689222,0.6494312029497336,0.6616909626583596,0.6558837773122059,0.6055807421197231,0.5815869482024845,0.6198928163899508,0.0
