frame,ear,tag,mov_ear_3,mov_ear_5,mov_ear_7
0,0.2643209288929214,0,0.0,0.0,0.0
1,0.0,0,0.0,0.0,0.0
2,0.0,0,0.0,0.0,0.0
3,0.0,0,0.0,0.0,0.0
4,0.0,0,0.0,0.0,0.0
5,0.0,0,0.0,0.0,0.0
6,0.0,0,0.0,0.0,0.0
7,0.0,0,0.0,0.0,0.0
8,0.0,0,0.0,0.0,0.0
9,0.0,0,0.0,0.0,0.0
10,0.0,0,0.0,0.0,0.0
11,0.0,0,0.0,0.0,0.0
12,0.0,0,0.0,0.0,0.0
13,0.0,0,0.0,0.0,0.0
14,0.0,0,0.0,0.0,0.0
15,0.0,0,0.0,0.0,0.0
16,0.0,0,0.0,0.0,0.0
17,0.0,0,0.0,0.0,0.0
18,0.0,0,0.0,0.0,0.0
19,0.0,0,0.0,0.0,0.0
20,0.0,0,0.0,0.0,0.0
21,0.0,0,0.0,0.0,0.0
22,0.0,0,0.0,0.0,0.0
23,0.0,0,0.0,0.0,0.0
24,0.0,0,0.0,0.0,0.0
25,0.0,0,0.0,0.0,0.0
26,0.0,0,0.0,0.0,0.0
27,0.0,0,0.0,0.0,0.0
28,0.0,0,0.0,0.0,0.0
29,0.0,0,0.0,0.0,0.0
30,0.0,0,0.0,0.0,0.0
31,0.0,0,0.0,0.0,0.0
32,0.0,0,0.0,0.0,0.0
33,0.0,0,0.0,0.0,0.0
34,0.0,0,0.0,0.0,0.0
35,0.0,0,0.0,0.0,0.0
36,0.0,0,0.0,0.0,0.0
37,0.0,0,0.0,0.0,0.0
38,0.0,0,0.0,0.0,0.0
39,0.0,0,0.0,0.0,0.0
40,0.0,0,0.0,0.0,0.0
41,0.0,0,0.0,0.0,0.0
42,0.0,0,0.0,0.0,0.0
43,0.0,0,0.0,0.0,0.0
44,0.0,0,0.0,0.0,0.0
45,0.0,0,0.0,0.0,0.0
46,0.0,0,0.0,0.0,0.0
47,0.0,0,0.0,0.0,0.0
48,0.0,0,0.0,0.0,0.0
49,0.0,0,0.0,0.0,0.0
50,0.0,0,0.0,0.0,0.0
51,0.0,0,0.0,0.0,0.0
52,0.0,0,0.0,0.0,0.0
53,0.0,0,0.0,0.0,0.0
54,0.0,0,0.0,0.0,0.0
55,0.0,0,0.0,0.0,0.0
56,0.3099363617138402,0,0.0,0.0,0.0
57,0.2493741088092329,0,0.0,0.0,0.0
58,0.2732589920992071,0,0.0,0.0,0.0
59,0.26295850479281524,0,0.0,0.0,0.0
60,0.27550063515405965,0,0.0,0.0,0.0
61,0.2044101685404556,0,0.0,0.0,0.0
62,0.12450707751740706,half,0.0,0.0,0.0
63,0.12716195014521006,close,0.0,0.0,0.0
64,0.12480436049686412,close,0.0,0.0,0.0
65,0.17390393126767806,half,0.0,0.0,0.0
66,0.19194779303174042,half,0.0,0.0,0.0
67,0.24367708625926182,half,0.0,0.0,0.0
68,0.24851845556777874,half,0.0,0.0,0.0
69,0.2538496103717499,half,0.0,0.0,0.0
70,0.2628473869807118,half,0.0,0.0,0.0
71,0.258680449108602,0,0.0,0.0,0.0
72,0.2570619924269996,0,0.0,0.0,0.0
73,0.26290643150680104,0,0.0,0.0,0.0
74,0.24391767172605,0,0.0,0.0,0.0
75,0.2663065118746525,0,0.0,0.0,0.0
76,0.2628473869807118,0,0.0,0.0,0.0
77,0.2647355829166589,0,0.0,0.0,0.0
78,0.2647355829166589,0,0.0,0.0,0.0
79,0.2530155085746463,0,0.0,0.0,0.0
80,0.2441195533856252,0,0.0,0.0,0.0
81,0.24966143374340602,0,0.0,0.0,0.0
82,0.2645277694096891,0,0.0,0.0,0.0
83,0.24051670785063928,0,0.0,0.0,0.0
84,0.24421421439740043,0,0.0,0.0,0.0
85,0.24106742045359447,0,0.0,0.0,0.0
86,0.23847045238004444,0,0.0,0.0,0.0
87,0.22326299654339848,0,0.0,0.0,0.0
88,0.24272369656761983,0,0.0,0.0,0.0
89,0.23386900338516986,0,0.0,0.0,0.0
90,0.23534591478073402,0,0.0,0.0,0.0
91,0.24542924263118854,0,0.0,0.0,0.0
92,0.2484752361586612,0,0.0,0.0,0.0
93,0.2404701402274224,0,0.0,0.0,0.0
94,0.23699503936673139,0,0.0,0.0,0.0
95,0.253457582719114,0,0.0,0.0,0.0
96,0.24450738346712236,0,0.0,0.0,0.0
97,0.23906406207005026,0,0.0,0.0,0.0
98,0.24397934474053717,0,0.0,0.0,0.0
99,0.2389150177004189,0,0.0,0.0,0.0
100,0.2414800276669793,0,0.0,0.0,0.0
101,0.24702533826800982,0,0.0,0.0,0.0
102,0.23362724270119764,0,0.0,0.0,0.0
103,0.23508025032993604,0,0.0,0.0,0.0
104,0.2425925977929495,0,0.0,0.0,0.0
105,0.24117599844361318,0,0.0,0.0,0.0
106,0.2425925977929495,0,0.0,0.0,0.0
107,0.24397934474053717,0,0.0,0.0,0.0
108,0.23972525456702584,0,0.0,0.0,0.0
109,0.2425925977929495,0,0.0,0.0,0.0
110,0.22363334231512114,0,0.0,0.0,0.0
111,0.22663476859244813,0,0.0,0.0,0.0
112,0.21757412238532522,0,0.0,0.0,0.0
113,0.22329562805818565,0,0.0,0.0,0.0
114,0.22206863060484666,0,0.0,0.0,0.0
115,0.24718316974520607,0,0.0,0.0,0.0
116,0.2425925977929495,0,0.0,0.0,0.0
117,0.23285021481227328,0,0.0,0.0,0.0
118,0.22368091783957322,0,0.0,0.0,0.0
119,0.2284624240442338,0,0.0,0.0,0.0
120,0.23649684967927237,0,0.0,0.0,0.0
121,0.24262885503160192,0,0.0,0.0,0.0
122,0.24289662701631562,0,0.0,0.0,0.0
123,0.24117599844361318,0,0.0,0.0,0.0
124,0.22405162438409892,0,0.0,0.0,0.0
125,0.24872641600721168,0,0.0,0.0,0.0
126,0.23698003896494182,0,0.0,0.0,0.0
127,0.2383086552176895,0,0.0,0.0,0.0
128,0.23111295785773883,0,0.0,0.0,0.0
129,0.24289662701631562,0,0.0,0.0,0.0
130,0.2370173964892855,0,0.0,0.0,0.0
131,0.22482590026193122,0,0.0,0.0,0.0
132,0.2425925977929495,0,0.0,0.0,0.0
133,0.22101206108136134,0,0.0,0.0,0.0
134,0.21787910472186495,0,0.0,0.0,0.0
135,0.2149305255826499,0,0.0,0.0,0.0
136,0.2186319369497976,0,0.0,0.0,0.0
137,0.2223031154109933,0,0.0,0.0,0.0
138,0.22363723898421517,0,0.0,0.0,0.0
139,0.22493632701087535,0,0.0,0.0,0.0
140,0.21444213994876588,0,0.0,0.0,0.0
141,0.24223052421190855,0,0.0,0.0,0.0
142,0.23202760141528747,0,0.0,0.0,0.0
143,0.2453929625400902,0,0.0,0.0,0.0
144,0.24391767172605,0,0.0,0.0,0.0
145,0.2575774328558699,0,0.0,0.0,0.0
146,0.2600055473690116,0,0.0,0.0,0.0
147,0.24532066464116986,0,0.0,0.0,0.0
148,0.25126404828888693,0,0.0,0.0,0.0
149,0.2586452637024827,0,0.0,0.0,0.0
150,0.2594441994559053,0,0.0,0.0,0.0
151,0.2644117533091739,0,0.0,0.0,0.0
152,0.2636110880962872,0,0.0,0.0,0.0
153,0.2711636784849203,0,0.0,0.0,0.0
154,0.26424376075363,0,0.0,0.0,0.0
155,0.2795590478024723,0,0.0,0.0,0.0
156,0.26439311953178835,0,0.0,0.0,0.0
157,0.26870884638976067,0,0.0,0.0,0.0
158,0.2699888896624112,0,0.0,0.0,0.0
159,0.27444649097682416,0,0.0,0.0,0.0
160,0.2678908378325911,0,0.0,0.0,0.0
161,0.26208316291353256,0,0.0,0.0,0.0
162,0.26094896246632426,0,0.0,0.0,0.0
163,0.24705460279853497,0,0.0,0.0,0.0
164,0.2688492066973762,0,0.0,0.0,0.0
165,0.26352633745601844,0,0.0,0.0,0.0
166,0.24942557417740846,0,0.0,0.0,0.0
167,0.2613281826120102,0,0.0,0.0,0.0
168,0.2414398964415137,0,0.0,0.0,0.0
169,0.24092531949197468,0,0.0,0.0,0.0
170,0.23128607268538792,0,0.0,0.0,0.0
171,0.24051670785063928,0,0.0,0.0,0.0
172,0.238173909708694,0,0.0,0.0,0.0
173,0.23287967368045798,0,0.0,0.0,0.0
174,0.23093190698610094,0,0.0,0.0,0.0
175,0.2313870888782092,0,0.0,0.0,0.0
176,0.22326299654339848,0,0.0,0.0,0.0
177,0.24279027180049229,0,0.0,0.0,0.0
178,0.2546251471261059,0,0.0,0.0,0.0
179,0.24429818636075903,0,0.0,0.0,0.0
180,0.25336515699074125,0,0.0,0.0,0.0
181,0.24007629197065256,0,0.0,0.0,0.0
182,0.24117599844361318,0,0.0,0.0,0.0
183,0.25872607064459086,0,0.0,0.0,0.0
184,0.23645934979807426,0,0.0,0.0,0.0
185,0.24662131017613798,0,0.0,0.0,0.0
186,0.23645934979807426,0,0.0,0.0,0.0
187,0.2244527993165421,0,0.0,0.0,0.0
188,0.23687109212008906,0,0.0,0.0,0.0
189,0.23255342022865483,0,0.0,0.0,0.0
190,0.2424755515594058,0,0.0,0.0,0.0
191,0.2509776288669594,0,0.0,0.0,0.0
192,0.23698003896494182,0,0.0,0.0,0.0
193,0.25118651092213784,0,0.0,0.0,0.0
194,0.24117599844361318,0,0.0,0.0,0.0
195,0.2358920635410222,0,0.0,0.0,0.0
196,0.138501746370579,half,0.0,0.0,0.0
197,0.1435777815095304,half,0.0,0.0,0.0
198,0.13301556104849666,close,0.0,0.0,0.0
199,0.10643224720007483,close,0.0,0.0,0.0
200,0.12685030772349246,half,0.0,0.0,0.0
201,0.17580647144015837,half,0.0,0.0,0.0
202,0.21444151251223187,half,0.0,0.0,0.0
203,0.21981527994121708,half,0.0,0.0,0.0
204,0.22834890512757128,half,0.0,0.0,0.0
205,0.23080978838313174,0,0.0,0.0,0.0
206,0.2258693295806936,0,0.0,0.0,0.0
207,0.22689952032570104,0,0.0,0.0,0.0
208,0.23222826603176283,0,0.0,0.0,0.0
209,0.22707144741506857,0,0.0,0.0,0.0
210,0.2374452681236818,0,0.0,0.0,0.0
211,0.2373456618956175,0,0.0,0.0,0.0
212,0.23416554605652032,0,0.0,0.0,0.0
213,0.2289845022162589,0,0.0,0.0,0.0
214,0.21250797981079406,0,0.0,0.0,0.0
215,0.22230701632767022,0,0.0,0.0,0.0
216,0.23159353909624963,0,0.0,0.0,0.0
217,0.2341163239471876,0,0.0,0.0,0.0
218,0.2326210259985615,0,0.0,0.0,0.0
219,0.24309078748040852,0,0.0,0.0,0.0
220,0.22554387915053734,0,0.0,0.0,0.0
221,0.23331893648525925,0,0.0,0.0,0.0
