frame,ear,tag,mov_ear_3,mov_ear_5,mov_ear_7
0,0.27149687491107355,0,0.0,0.0,0.0
1,0.2720888068276264,0,0.0,0.0,0.0
2,0.2716933437432013,0,0.27175967516063376,0.0,0.0
3,0.2716702523809067,0,0.2718174676505782,0.271933440747047,0.0
4,0.27271792587242705,0,0.2720271739988451,0.2712722399206173,0.2715784772029493
5,0.2681908707789248,0,0.2708596830107529,0.27149273173638905,0.27052254284447586
6,0.2731912659064853,0,0.27136668751927906,0.2699751298681006,0.2689091617127955
7,0.264105334401759,0,0.2684958236957231,0.2678001071730921,0.2671952045726113
8,0.26079513890586403,0,0.2660305797380362,0.26519565075098905,0.26668149748378733
9,0.2596956437619121,0,0.2615320390231784,0.2651723371470319,0.26708767961539687
10,0.268074302759139,0,0.26285502847563835,0.26564632412447364,0.2666181045092035
11,0.27556120079369373,0,0.26777704910491495,0.265806026251236,0.26690585603348466
12,0.2649038450355713,0,0.26951311619613466,0.26868810378535385,0.2683580636447192
13,0.27520552657645314,0,0.2718901908019061,0.27160313256905166,0.2698031247301692
14,0.27427078768040103,0,0.2714600530974751,0.2721703853180267,0.27227498939134465
15,0.270910566504014,0,0.2734622935869561,0.2724578844373159,0.27315206411850956
16,0.2769986963901404,0,0.27406001685818504,0.27431988060006035,0.27104088668789494
17,0.27421382584929355,0,0.27404102958114923,0.2714353670406481,0.2695925698712534
18,0.26078295877939195,0,0.2706651603396084,0.2675343349683839,0.26868141233146386
19,0.2547656273190804,0,0.2632541373159218,0.26711770642716637,0.2694025962600181
20,0.2688274237979262,0,0.26145866996546613,0.2675817821851945,0.2704213425196344
21,0.27931907518028043,0,0.2676373754324291,0.2683473750796015,0.26756730562107695
22,0.27804179032132814,0,0.2753960964331785,0.26759487094377066,0.25919191251127505
23,0.25702043810023784,0,0.2714604345339489,0.2597589602960907,0.24070352135105746
24,0.2155860740806806,0,0.25021610083408213,0.23226631966807912,0.2227115270596143
25,0.13136422065786824,half,0.20132357761292882,0.2021668380878186,0.20731966674362784
26,0.12882166727897792,close,0.1585906540058423,0.17877536034075714,0.19686908364341654
27,0.161084401586021,close,0.1404234298409559,0.16860427141646994,0.1902365063000103
28,0.20616499347880174,half,0.165357020781267,0.17180980638383084,0.18829963828881396
29,0.23161374891748474,half,0.19962104799410252,0.19422943465662978,0.1932635117373458
30,0.24346236202186294,half,0.22708036813938323,0.21853173884491478,0.21033922106739794
31,0.2503331882204027,half,0.24180309971991706,0.23649369572135726,0.22769100832742023
32,0.2508941859682331,half,0.24822991207016662,0.24531753264542377,0.24003339166679233
33,0.2502841780991345,half,0.2505038507625903,0.248490999854252,0.24511778790754502
34,0.24748108496162602,0,0.24955314967633116,0.24814968088269343,0.24833427631471114
35,0.2417557671640706,0,0.2465070100749435,0.2489088767921423,0.2492874101956568
36,0.25412916776764716,0,0.2477886732977813,0.24875689943619222,0.24978440463051882
