frame,ear,tag,mov_ear_3,mov_ear_5,mov_ear_7
0,,0,,,
1,,0,,,
2,,0,,,
3,,0,,,
4,,0,,,
5,,0,,,
6,,0,,,
7,,0,,,
8,,0,,,
9,,0,,,
10,,0,,,
11,,0,,,
12,,0,,,
13,,0,,,
14,,0,,,
15,,0,,,
16,,0,,,
17,,0,,,
18,,0,,,
19,,0,,,
20,,0,,,
21,,0,,,
22,,0,,,
23,,0,,,
24,,0,,,
25,,0,,,
26,,0,,,
27,,0,,,
28,,0,,,
29,,0,,,
30,,0,,,
31,,0,,,
32,,0,,,
33,,0,,,
34,,0,,,
35,,0,,,
36,,0,,,
37,,0,,,
38,,0,,,
39,,0,,,
40,,0,,,
41,,0,,,
42,,0,,,
43,,0,,,
44,,0,,,
45,,0,,,
46,,0,,,
47,,0,,,
48,,0,,,
49,,0,,,
50,,0,,,
51,,0,,,
52,,0,,,
53,,0,,,
54,,0,,,
55,,0,,,
56,,0,,,
57,,0,,,
58,,0,,,
59,,0,,,
60,,0,,,
61,,0,,,
62,,0,,,
63,,0,,,
64,,0,,,
65,,0,,,
66,,0,,,
67,,0,,,
68,,0,,,
69,,0,,,
70,,0,,,
71,,0,,,
72,,0,,,
73,,0,,,
74,,0,,,
75,,0,,,
76,,0,,,
77,,0,,,
78,,0,,,
79,,0,,,
80,,0,,,
81,,0,,,
82,,0,,,
83,,0,,,
84,,0,,,
85,,0,,,
86,,0,,,
87,,0,,,
88,,0,,,
89,,0,,,
90,0.1519762581392132,half,,,
91,0.1861009992126985,half,,,
92,0.22683471718524148,half,,,
93,0.2589339872713413,half,,,
94,0.26649249318224233,0,,,
95,0.2798855472743822,0,,,
96,0.26699431077408076,0,,,
97,0.26333613851547466,0,,,
98,0.2584992517001867,0,,,
99,0.2499371106056088,0,,,
100,0.2582378981694673,0,,,
101,0.27337269760531513,0,,,
102,0.2781618027421571,0,,,
103,0.27834147319667785,0,,,
104,0.254953382294253,0,,,
105,0.2702750147437253,0,,,
106,0.25900133031549766,0,,,
107,0.2622244969743861,0,,,
108,0.28218678986915235,0,,,
109,0.2708327017520994,0,,,
110,0.2699092741935484,0,,,
111,0.24621975806451613,0,,,
112,0.2698379995465717,0,,,
113,0.2779089879278958,0,,,
114,0.2595031479073361,0,,,
115,0.2504863886585824,0,,,
116,0.2579974341083483,0,,,
117,0.282576899457241,0,,,
118,0.26605775761108785,0,,,
119,0.2584992517001867,0,,,
120,0.2539651760438322,0,,,
121,0.25390418555471705,0,,,
122,0.2744268832758213,0,,,
123,0.25843216967950283,0,,,
124,0.25390418555471705,0,,,
125,0.27812512258391286,0,,,
126,0.28588338902909893,0,,,
127,0.28014465257603915,0,,,
128,0.26178207185693275,0,,,
129,0.27135465839926476,0,,,
130,0.26957935762633034,0,,,
131,0.27868129204280323,0,,,
132,0.2698423953596723,0,,,
133,0.25372174835419326,0,,,
134,0.2798855472743822,0,,,
135,0.2663456357675024,0,,,
136,0.27427102920931845,0,,,
137,0.27109243870638444,0,,,
138,0.2717515867784037,0,,,
139,0.27405099909314345,0,,,
140,0.2821113225958829,0,,,
141,0.27871227339790927,0,,,
142,0.2821113225958829,0,,,
143,0.2701800273918584,0,,,
144,0.2798855472743822,0,,,
145,0.2756613804898258,0,,,
146,0.2831760569774271,0,,,
147,0.27405099909314345,0,,,
148,0.28719036341116366,0,,,
149,0.29589540335744735,0,,,
150,0.262023876926484,0,,,
151,0.2759474785380833,0,,,
152,0.2879053398038981,0,,,
153,0.2830595623183529,0,,,
154,0.2798450163011586,0,,,
155,0.29522258921235933,0,,,
156,0.29522258921235933,0,,,
157,0.28789047531591483,0,,,
158,0.2830041668571459,0,,,
159,0.2622244969743861,0,,,
160,0.27028482047712565,0,,,
161,0.28789047531591483,0,,,
162,0.28789047531591483,0,,,
163,0.2798855472743822,0,,,
164,0.2791939838050768,0,,,
165,0.2879053398038981,0,,,
166,0.25930200824837857,0,,,
167,0.27081387110325844,0,,,
168,0.20130438219365715,half,,,
169,0.19921367144235275,half,,,
170,0.1817951963623441,close,,,
171,0.19451417031933782,close,,,
172,0.20530538566606543,half,,,
173,0.20461722546308025,half,,,
174,0.2140413472566865,half,,,
175,0.23809866137715321,half,,,
